
  n   P(n) mod n
 ===  ==========
  2        0
  3        0
  4        2
  5        0
  6        5
  7        0
  8        2
  9        3
 10        7
 11        0
 12        5
 13        0
 14        9
 15        8
 16       10
 17        0
 18       14
 19        0
 20       17
 21       10
 22        2
 23        0
 24       13
 25        5
 26       15
 27       12
 28       23
 29        0
 30       20
 31        0
 32       26
 33       25
 34       19
 35       12
 36        2
 37        0
 38       21
 39        3
 40        5
 41        0
 42       33
 43        0
 44        2
 45       32
